sample_name,participant,source_run,status,reason,first_action_original_frame_idx,first_action_frame_name,last_action_original_frame_idx,last_action_frame_name,trim_start_original_frame_idx,trim_start_frame_name,trim_start_timestamp,trim_end_original_frame_idx,trim_end_frame_name,trim_end_timestamp,frame_annotation_original_rows,frame_annotation_keep_rows,frame_annotation_before_rows,frame_annotation_after_rows,001431512812_original_frames,001431512812_keep_frames,001431512812_before_frames,001431512812_after_frames,001484412812_original_frames,001484412812_keep_frames,001484412812_before_frames,001484412812_after_frames,001528512812_original_frames,001528512812_keep_frames,001528512812_before_frames,001528512812_after_frames,mindrove_left_original_rows,mindrove_left_keep_rows,mindrove_left_before_rows,mindrove_left_after_rows,mindrove_right_original_rows,mindrove_right_keep_rows,mindrove_right_before_rows,mindrove_right_after_rows
run_sample_000041,D,run_21,ok,,555,20260325_102527_269404.jpg,1649,20260325_102603_739908.jpg,525,20260325_102526_259823.jpg,20260325_102526_259823,1679,20260325_102604_743294.jpg,20260325_102604_743294,1787,1155,524,108,1788,1154,526,108,1787,1155,524,108,1788,1154,526,108,32000,19230,8642,4128,33000,19244,9028,4728
run_sample_000042,D,run_22,ok,,363,20260325_102658_232402.jpg,3055,20260325_102827_989981.jpg,333,20260325_102657_222584.jpg,20260325_102657_222584,3085,20260325_102828_998910.jpg,20260325_102828_998910,3267,2753,332,182,3267,2752,333,182,3267,2753,332,182,3266,2752,333,181,56500,45860,5594,5046,56500,45898,5518,5084
run_sample_000043,D,run_24,ok,,566,20260325_103321_478841.jpg,1711,20260325_103359_649582.jpg,536,20260325_103320_466453.jpg,20260325_103320_466453,1741,20260325_103400_644576.jpg,20260325_103400_644576,1849,1206,535,108,1848,1204,536,108,1849,1206,535,108,1849,1206,535,108,34500,20076,8596,5828,34500,20092,8678,5730
run_sample_000044,D,run_25,ok,,520,20260325_103503_218170.jpg,1622,20260325_103539_965916.jpg,490,20260325_103502_210417.jpg,20260325_103502_210417,1652,20260325_103540_958869.jpg,20260325_103540_958869,1741,1163,489,89,1741,1162,490,89,1741,1163,489,89,1741,1162,490,89,32000,19358,7434,5208,32000,19376,7060,5564
run_sample_000045,D,run_26,ok,,502,20260325_103639_864452.jpg,3183,20260325_103809_256427.jpg,472,20260325_103638_857358.jpg,20260325_103638_857358,3213,20260325_103810_263236.jpg,20260325_103810_263236,3428,2742,471,215,3429,2742,472,215,3428,2742,471,215,3428,2742,471,215,60500,45670,7722,7108,60500,45712,7390,7398
run_sample_000046,D,run_28,ok,,1082,20260325_104328_532381.jpg,5632,20260325_104600_258848.jpg,1052,20260325_104327_540555.jpg,20260325_104327_540555,5662,20260325_104601_266119.jpg,20260325_104601_266119,5799,4611,1051,137,5799,4610,1050,139,5799,4611,1051,137,5799,4608,1052,139,100500,76808,17420,6272,100500,76874,17266,6360
run_sample_000047,D,run_29,ok,,790,20260325_104745_494529.jpg,1742,20260325_104817_238563.jpg,760,20260325_104744_488266.jpg,20260325_104744_488266,1772,20260325_104818_246960.jpg,20260325_104818_246960,1948,1013,759,176,1949,1013,759,177,1948,1013,759,176,1948,1013,758,177,35500,16866,11804,6830,36000,16880,12258,6862
run_sample_000048,D,run_31,ok,,604,20260325_105139_784117.jpg,1115,20260325_105156_823489.jpg,574,20260325_105138_774085.jpg,20260325_105138_774085,1145,20260325_105157_804052.jpg,20260325_105157_804052,1259,572,573,114,1259,570,574,115,1259,572,573,114,1259,571,573,115,21500,9510,7862,4128,21615,9516,7533,4566
run_sample_000049,D,run_32,ok,,737,20260325_105322_825315.jpg,2735,20260325_105429_521552.jpg,707,20260325_105321_819977.jpg,20260325_105321_819977,2765,20260325_105430_561463.jpg,20260325_105430_561463,3008,2059,706,243,3007,2062,705,240,3008,2059,706,243,3008,2060,706,242,52500,34348,10350,7802,52500,34377,10450,7673
run_sample_000050,J,run_2,ok,,850,20260316_120038_878732.jpg,2076,20260316_120119_789894.jpg,820,20260316_120037_889471.jpg,20260316_120037_889471,2106,20260316_120120_771922.jpg,20260316_120120_771922,2353,1287,819,247,2353,1286,820,247,2353,1287,819,247,2353,1286,820,247,43500,21430,12930,9140,44000,21448,13110,9442
