model,participant,analysis_scope,generated_views,changed_fraction,mean_kendall,mean_changed_position_fraction,mean_absolute_index_shift,latest_token_moved_fraction,graph_valid_fraction,graph_valid_regression_rate,target_appended_graph_valid_fraction,target_graph_valid_regression_rate,target_immediate_predecessor_ok_fraction,target_immediate_predecessor_regression_rate,immediate_constraint_violation_increase_rate,novel_transition_fraction,real_prefix_fraction,mean_actual_transition_log_probability,mean_augmented_transition_log_probability,stage_backward_increase_rate,samples,mean_unique_ratio,mean_duplicate_ratio,all_views_identical_fraction,all_unchanged_fraction
A3-DualPos-Once,D,changed_views_only,689,1.0,0.1624438541922997,0.5275515572201387,1.8297169876844155,0.0,1.0,0.0,1.0,0.0,0.9825834542815675,0.0,0.0,0.25449189043402703,0.001451378809869376,-1.1442837806300103,-1.8927080506519258,0.0,869,0.5086306098964327,0.4913693901035674,0.7353279631760644,0.7341772151898734
A3-DualPos-Every10,D,changed_views_only,3437,1.0,0.15993184681858272,0.5240457408250617,1.8064892660431848,0.0,1.0,0.0,1.0,0.0,0.9825429153331393,0.0,0.0,0.25279897013181,0.0011638056444573757,-1.1439313129936448,-1.889233272348794,0.0,869,0.3084004602991945,0.6915995397008056,0.7341772151898734,0.7341772151898734
A1-Legacy-Once,J,changed_views_only,1200,1.0,0.23136961013733626,0.5992837676842085,1.8049748291799461,0.31666666666666665,1.0,0.0,1.0,0.0,0.99,0.0,0.0,0.20738119259076823,0.021666666666666667,-1.3624891491876545,-1.9389581384077283,0.0,698,0.7072588347659982,0.2927411652340019,0.40257879656160456,0.3982808022922636
A1-Legacy-Every10-Replace,J,changed_views_only,5992,1.0,0.23181492131262968,0.5979798963396864,1.8151572617069676,0.31024699599465955,1.0,0.0,1.0,0.0,0.9899866488651535,0.0,0.0,0.20499049601505875,0.02219626168224299,-1.3606492852022665,-1.9296916090974403,0.0,698,0.5435530085959885,0.4564469914040115,0.39255014326647564,0.39255014326647564
A3-DualPos-Once,J,changed_views_only,690,1.0,0.1695869041515948,0.5501795121892186,1.8783319338322206,0.0,1.0,0.0,1.0,0.0,0.9826086956521739,0.0,0.0,0.20986477419614014,0.0,-1.3031380516655489,-1.9100140965381873,0.0,698,0.5515759312320917,0.4484240687679084,0.669054441260745,0.667621776504298
A3-DualPos-Every10,J,changed_views_only,3440,1.0,0.1696401513429338,0.5497203095856643,1.8842472399821417,0.0,1.0,0.0,1.0,0.0,0.9825581395348837,0.0,0.0,0.2058333180529209,0.0,-1.3027678724484335,-1.9015612605158143,0.0,698,0.3679083094555874,0.6320916905444126,0.667621776504298,0.667621776504298
A1-Legacy-Once,M,changed_views_only,1097,1.0,0.2238274374222302,0.5814599159615051,1.7874690145234065,0.31358249772105745,1.0,0.0,1.0,0.0,0.9945305378304466,0.0,0.0,0.25435239952980854,0.041932543299908843,-1.281086916003016,-1.9697522323587253,0.0,681,0.684287812041116,0.31571218795888406,0.4419970631424376,0.4331864904552129
A1-Legacy-Every10-Replace,M,changed_views_only,5519,1.0,0.22388162594426209,0.5797599493876868,1.783699610352823,0.32505888747961587,1.0,0.0,1.0,0.0,0.9945642326508426,0.0,0.0,0.25242835187690665,0.04113063960862475,-1.279722978679363,-1.9616298191439496,0.0,681,0.5119921683798336,0.4880078316201664,0.4287812041116006,0.42584434654919234
A3-DualPos-Once,M,changed_views_only,623,1.0,0.17339370580466004,0.5469423351249313,1.9318345919980073,0.0,1.0,0.0,1.0,0.0,0.9903691813804173,0.0,0.0,0.2784866222274301,0.0,-1.2221490177552479,-1.9867149338881565,0.0,681,0.5359765051395007,0.4640234948604994,0.6930983847283406,0.6930983847283406
A3-DualPos-Every10,M,changed_views_only,3118,1.0,0.17214300589535259,0.5436526600290491,1.915374336998589,0.0,1.0,0.0,1.0,0.0,0.9903784477228993,0.0,0.0,0.27552713048653515,0.0006414368184733803,-1.2231741252628523,-1.980737267207389,0.0,681,0.3479197258932942,0.6520802741067058,0.6930983847283406,0.6930983847283406
