comparison_model,condition,grouping,group,contributing_jobs,tier3_accuracy_delta_mean,tier3_accuracy_delta_sd,tier3_macro_f1_delta_mean,node_accuracy_delta_mean
A3-DualPos-Once,fault,local_suffix_2,unseen,12,-0.04861111111111111,0.11491286407520408,-0.07546296296296297,-0.04861111111111111
A3-DualPos-Once,fault,stage,1,12,-0.015151515151515147,0.04877666999896907,-0.0181818181818182,-0.015151515151515147
A3-DualPos-Once,fault,stage,2,12,-0.00515328970429509,0.04769433879614379,-0.002802416446944909,-0.016573568376389753
A3-DualPos-Once,fault,stage,3,12,-0.006127450980392172,0.08670879494064437,-0.008024691358024694,-0.006127450980392172
A3-DualPos-Once,fault,tail_reason,active_incomplete_atomic_prefix,12,0.0028082010054482167,0.050455447642397254,-0.0012102198857971054,-0.008778998307266556
A3-DualPos-Once,fault,tail_reason,atomic_sequence_complete,12,-0.06597222222222222,0.10873807454253942,-0.05092592592592594,-0.06597222222222222
A3-DualPos-Once,fault,tail_reason,empty_history,12,-0.04259259259259259,0.08010001230691245,-0.06150793650793651,-0.04259259259259259
A3-DualPos-Once,fault,tail_reason,latest_node_not_atomic,12,0.007246376811594198,0.06078971643319753,0.010113960113960124,0.007246376811594198
A3-DualPos-Once,fault,tail_reason,observed_atomic_nodes_not_prefix,12,-0.006249999999999996,0.07081104818779725,-0.0018162393162393282,-0.006249999999999996
A3-DualPos-Once,fault,tail_reason,repeated_node_fallback,12,-0.018518518518518507,0.11222783375420171,-0.017938311688311687,-0.03703703703703703
A3-DualPos-Once,normal,active_tail,False,12,-0.007145266847205335,0.03148743375123022,0.0017340943291339894,-0.007145266847205335
A3-DualPos-Once,normal,active_tail,True,12,-0.01896865937180255,0.04841417859204422,-0.022799876991796326,-0.024991905464428626
A3-DualPos-Once,normal,exact_full_prefix,False,12,-0.009544369750961004,0.04086337813764646,-0.0066835459764233345,-0.01688081834909184
A3-DualPos-Once,normal,exact_full_prefix,True,12,-0.018840104463397834,0.04031977340824658,-0.0008857604623212038,-0.022366693018854338
A3-DualPos-Once,normal,history_length,0,12,-0.021428571428571408,0.05367011265934907,0.012060784197880972,-0.021428571428571408
A3-DualPos-Once,normal,history_length,1-2,12,-0.004866332497911473,0.08500345868463331,-0.012995030468074598,-0.004866332497911473
A3-DualPos-Once,normal,history_length,11-20,12,-0.022743034015180973,0.04752837954561626,-0.01305276669487107,-0.027167599278724874
A3-DualPos-Once,normal,history_length,21+,12,0.006415343915343902,0.03620156198032549,0.015161268772379896,-0.002380952380952391
A3-DualPos-Once,normal,history_length,3-5,12,-0.04200779727095514,0.0568233603582651,-0.021740258322533085,-0.04346978557504871
A3-DualPos-Once,normal,history_length,6-10,12,-0.0030492898913951627,0.0842538861163439,-0.006854735558231406,-0.010902255639097738
A3-DualPos-Once,normal,local_prefix_3,insufficient,12,-0.010387078808131445,0.0596084902037845,-0.0038302455917365217,-0.010387078808131445
A3-DualPos-Once,normal,local_prefix_3,seen,12,-0.018723075444073933,0.04118373167303761,-0.011056606119454545,-0.024322839761649406
A3-DualPos-Once,normal,local_prefix_3,unseen,12,0.0022660962496721857,0.06430733528478275,0.012546610524551713,0.0022660962496721857
A3-DualPos-Once,normal,local_suffix_1,insufficient,12,-0.021428571428571408,0.05367011265934907,0.012060784197880972,-0.021428571428571408
A3-DualPos-Once,normal,local_suffix_1,seen,12,-0.015558260169416452,0.040433622760339155,-0.006990250889720606,-0.020201183958406393
A3-DualPos-Once,normal,local_suffix_2,insufficient,12,-0.01802422723475357,0.04973021070884471,0.011065347984771637,-0.01802422723475357
A3-DualPos-Once,normal,local_suffix_2,seen,12,-0.015840101497674796,0.04311700942049008,-0.008433615812833075,-0.020889860153202666
A3-DualPos-Once,normal,local_suffix_2,unseen,12,-0.013888888888888895,0.06884081085415279,-0.010879629629629628,-0.013888888888888895
A3-DualPos-Once,normal,stage,1,12,-0.007954545454545455,0.04851550769618878,0.0002525252525252449,-0.007954545454545455
