model,condition,grouping,group,contributing_jobs,total_samples,mean_n_per_job,tier3_accuracy_mean,tier3_accuracy_sd,tier3_macro_f1_mean,tier3_macro_f1_sd,node_accuracy_mean,node_accuracy_sd
A1-Legacy-Once,normal,local_suffix_1,seen,12,4095,341.25,0.8659115317538637,0.04813491124583919,0.8352485061827634,0.0466483971466337,0.8658249130061172,0.04810331879123066
A1-Legacy-Once,normal,local_suffix_2,insufficient,12,456,38.0,0.8800125313283208,0.06188950519644533,0.8438937532647602,0.09954882217705134,0.8800125313283208,0.06188950519644533
A1-Legacy-Once,normal,local_suffix_2,seen,12,3720,310.0,0.8680907471584933,0.04718685420738767,0.8258945497717335,0.05813230921455305,0.86801407761067,0.047044402957856925
A1-Legacy-Once,normal,local_suffix_2,unseen,12,147,12.25,0.7805555555555556,0.12869673938961074,0.7992574555074555,0.1322937099246864,0.7805555555555556,0.12869673938961074
A1-Legacy-Once,normal,local_prefix_3,insufficient,12,684,57.0,0.8956140350877192,0.06232909499194852,0.8675366720851395,0.07539702930237321,0.8956140350877192,0.06232909499194852
A1-Legacy-Once,normal,local_prefix_3,seen,12,3327,277.25,0.8657899210395423,0.04765495864209531,0.8089054741042933,0.062120641611645905,0.8657247675409124,0.047682197275590955
A1-Legacy-Once,normal,local_prefix_3,unseen,12,312,26.0,0.8162904864935746,0.11816817929564323,0.8128504542842778,0.13047427166179743,0.8162904864935746,0.11816817929564323
A1-Legacy-Once,normal,history_length,0,12,228,19.0,0.8609022556390977,0.12015113731294343,0.8007216053235323,0.21210236379389177,0.8609022556390977,0.12015113731294343
A1-Legacy-Once,normal,history_length,1-2,12,456,38.0,0.9129699248120301,0.10515200572896366,0.932571241674477,0.09646721971264448,0.9129699248120301,0.10515200572896366
A1-Legacy-Once,normal,history_length,11-20,12,1440,120.0,0.8589297604572487,0.03455069813396471,0.8534044601226166,0.0458624748882644,0.8601828932893288,0.03385317782246297
A1-Legacy-Once,normal,history_length,21+,12,375,31.25,0.8573199351425158,0.05699575186291598,0.8427502538613649,0.054043636499417624,0.8515659668885475,0.05658389226233679
A1-Legacy-Once,normal,history_length,3-5,12,684,57.0,0.8606794764689502,0.10793208345652185,0.8438041190596133,0.13660510920914917,0.8625313283208019,0.10656233173261513
A1-Legacy-Once,normal,history_length,6-10,12,1140,95.0,0.8601670843776107,0.07437944051550079,0.8214485238692745,0.09541104207350266,0.8590559732664995,0.07566570436484513
A1-Legacy-Once,normal,stage,1,12,528,44.0,0.8227272727272728,0.1050105437167007,0.8674417333508243,0.07565861747994032,0.8227272727272728,0.1050105437167007
A1-Legacy-Once,normal,stage,2,12,3192,266.0,0.8708646616541352,0.057734654759124704,0.8753241807784763,0.050444589913374145,0.8707512829693281,0.057566942906691114
A1-Legacy-Once,normal,stage,3,12,603,50.25,0.8788562091503268,0.04341255398269454,0.9044761257261257,0.04381416026743661,0.8788562091503268,0.04341255398269454
A1-Legacy-Once,normal,active_tail,False,12,1149,95.75,0.8548162774225827,0.044489228874339135,0.8555256520849097,0.042506042549887664,0.8548162774225827,0.044489228874339135
A1-Legacy-Once,normal,active_tail,True,12,3174,264.5,0.8682414059386286,0.06238699053048295,0.8776368363864391,0.043186833527797376,0.8681328300739576,0.06225068739245024
A1-Legacy-Once,normal,tail_reason,active_incomplete_atomic_prefix,12,3174,264.5,0.8682414059386286,0.06238699053048295,0.8776368363864391,0.043186833527797376,0.8681328300739576,0.06225068739245024
A1-Legacy-Once,normal,tail_reason,atomic_sequence_complete,12,252,21.0,0.8881079510370128,0.06821708055664212,0.8072111897508724,0.08557835692198511,0.8881079510370128,0.06821708055664212
A1-Legacy-Once,normal,tail_reason,empty_history,12,228,19.0,0.8609022556390977,0.12015113731294343,0.8007216053235323,0.21210236379389177,0.8609022556390977,0.12015113731294343
A1-Legacy-Once,normal,tail_reason,latest_node_not_atomic,12,648,54.0,0.8389875997018854,0.0496295500343947,0.8251689561907817,0.04727007359148301,0.8389875997018854,0.0496295500343947
A1-Legacy-Once,fault,exact_full_prefix,False,12,552,46.0,0.7942763772175536,0.08702358800235904,0.7426232025898778,0.0834449531443452,0.7878478057889823,0.08474268523826645
A1-Legacy-Once,fault,exact_full_prefix,True,12,810,67.5,0.8650039852201995,0.09724118807142478,0.82775110914126,0.09347462681384577,0.8650039852201995,0.09724118807142478
A1-Legacy-Once,fault,local_suffix_1,insufficient,12,81,6.75,0.862962962962963,0.22718367129111502,0.806517094017094,0.2893552373638931,0.862962962962963,0.22718367129111502
A1-Legacy-Once,fault,local_suffix_1,seen,12,1281,106.75,0.8300333633241382,0.09531101080449607,0.7845419451805956,0.08372454861349486,0.8272858855987715,0.09440530729273634
A1-Legacy-Once,fault,local_suffix_2,insufficient,12,162,13.5,0.8407407407407407,0.143730428977276,0.84824986477947,0.15465903165599348,0.8407407407407407,0.143730428977276
A1-Legacy-Once,fault,local_suffix_2,seen,12,1155,96.25,0.8366663619194229,0.09880196545246027,0.7902378795553869,0.09630958086159808,0.8336457937697482,0.09798288590195281
A1-Legacy-Once,fault,local_suffix_2,unseen,12,45,3.75,0.6666666666666666,0.13762047064079508,0.638888888888889,0.20997835386274724,0.6666666666666666,0.13762047064079508
A1-Legacy-Once,fault,local_prefix_3,insufficient,12,243,20.25,0.8648148148148148,0.13940979756571592,0.885120721140458,0.1184555732947056,0.8648148148148148,0.13940979756571592
A1-Legacy-Once,fault,local_prefix_3,seen,12,1029,85.75,0.8376143273531333,0.1074513914889508,0.7926140764747392,0.08752249473272114,0.8342850143223277,0.10677783227139202
A1-Legacy-Once,fault,local_prefix_3,unseen,12,90,7.5,0.6792929292929294,0.13371532208504328,0.6742592592592592,0.11181057580534288,0.6792929292929294,0.13371532208504328
A1-Legacy-Once,fault,history_length,0,12,81,6.75,0.862962962962963,0.22718367129111502,0.806517094017094,0.2893552373638931,0.862962962962963,0.22718367129111502
A1-Legacy-Once,fault,history_length,1-2,12,162,13.5,0.8657407407407408,0.20446521267666068,0.938990638990639,0.096930899099508,0.8657407407407408,0.20446521267666068
A1-Legacy-Once,fault,history_length,11-20,12,417,34.75,0.8066440264716127,0.07961247517632983,0.7605759965601878,0.10062587044129409,0.8101513216455745,0.08672028497571099
A1-Legacy-Once,fault,history_length,21+,12,114,9.5,0.7957912457912458,0.2525619195907734,0.8212962962962963,0.20864903128613008,0.7715488215488215,0.23964036451602616
A1-Legacy-Once,fault,history_length,3-5,12,243,20.25,0.8486111111111111,0.17512421437413253,0.8426090113590113,0.1700475317412947,0.8486111111111111,0.17512421437413253
A1-Legacy-Once,fault,history_length,6-10,12,345,28.75,0.829074074074074,0.12978254568982453,0.8283044733044732,0.13263147723281757,0.829074074074074,0.12978254568982453
A1-Legacy-Once,fault,stage,1,12,198,16.5,0.8257575757575758,0.10407427658327044,0.8287878787878787,0.10576898120632766,0.8257575757575758,0.10407427658327044
