model,participant,seed,condition,grouping,group,n,node_accuracy,node_macro_f1,tier3_accuracy,tier3_macro_f1
M2-Direct-RealOrder,A,2,fault,history_length,21+,9,0.4444444444444444,0.5,0.4444444444444444,0.5
M2-Direct-RealOrder,A,2,fault,history_length,3-5,27,0.37037037037037035,0.40625,0.37037037037037035,0.40625
M2-Direct-RealOrder,A,2,fault,history_length,6-10,30,0.6666666666666666,0.7158730158730158,0.7,0.726984126984127
M2-Direct-RealOrder,A,2,fault,stage,1,22,0.7727272727272727,0.7878787878787878,0.7727272727272727,0.7878787878787878
M2-Direct-RealOrder,A,2,fault,stage,2,98,0.5408163265306123,0.5267705029225767,0.5714285714285714,0.5803521756492894
M2-Direct-RealOrder,A,2,fault,stage,3,17,0.7058823529411765,0.6666666666666666,0.7058823529411765,0.6666666666666666
M2-Direct-RealOrder,A,2,fault,active_tail,False,57,0.7368421052631579,0.5887678528201404,0.7543859649122807,0.6306435394670689
M2-Direct-RealOrder,A,2,fault,active_tail,True,80,0.5,0.561955691367456,0.525,0.6051228183581124
M2-Direct-RealOrder,A,2,fault,tail_reason,active_incomplete_atomic_prefix,80,0.5,0.561955691367456,0.525,0.6051228183581124
M2-Direct-RealOrder,A,2,fault,tail_reason,atomic_sequence_complete,8,0.625,0.611111111111111,0.625,0.611111111111111
M2-Direct-RealOrder,A,2,fault,tail_reason,empty_history,9,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,2,fault,tail_reason,latest_node_not_atomic,23,0.6956521739130435,0.6511111111111111,0.6956521739130435,0.6511111111111111
M2-Direct-RealOrder,A,2,fault,tail_reason,observed_atomic_nodes_not_prefix,8,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,2,fault,tail_reason,repeated_node_fallback,9,0.4444444444444444,0.4074074074074074,0.5555555555555556,0.5416666666666666
M2-Direct-RealOrder,A,2,all,exact_full_prefix,False,157,0.7197452229299363,0.6921300153134065,0.732484076433121,0.7010595154584925
M2-Direct-RealOrder,A,2,all,exact_full_prefix,True,274,0.7262773722627737,0.7329182977842608,0.7299270072992701,0.7433288028274162
M2-Direct-RealOrder,A,2,all,local_suffix_1,insufficient,24,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,2,all,local_suffix_1,seen,407,0.7076167076167076,0.7320397235527883,0.714987714987715,0.741883870989465
M2-Direct-RealOrder,A,2,all,local_suffix_2,insufficient,48,0.7708333333333334,0.9037082066869301,0.7708333333333334,0.9037082066869301
M2-Direct-RealOrder,A,2,all,local_suffix_2,seen,372,0.7150537634408602,0.7264923922404312,0.7231182795698925,0.7356207549916423
M2-Direct-RealOrder,A,2,all,local_suffix_2,unseen,11,0.8181818181818182,0.7619047619047619,0.8181818181818182,0.761904761904762
M2-Direct-RealOrder,A,2,all,local_prefix_3,insufficient,72,0.8472222222222222,0.932595744680851,0.8472222222222222,0.932595744680851
M2-Direct-RealOrder,A,2,all,local_prefix_3,seen,332,0.6867469879518072,0.6765221121232747,0.6957831325301205,0.6863175957786237
M2-Direct-RealOrder,A,2,all,local_prefix_3,unseen,27,0.8518518518518519,0.8533333333333333,0.8518518518518519,0.8533333333333333
M2-Direct-RealOrder,A,2,all,history_length,0,24,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,2,all,history_length,1-2,48,0.7708333333333334,0.9511111111111111,0.7708333333333334,0.9511111111111111
M2-Direct-RealOrder,A,2,all,history_length,11-20,145,0.7448275862068966,0.7291322166228463,0.7586206896551724,0.7676346255588651
M2-Direct-RealOrder,A,2,all,history_length,21+,37,0.6756756756756757,0.7348484848484849,0.6756756756756757,0.7348484848484849
M2-Direct-RealOrder,A,2,all,history_length,3-5,72,0.5694444444444444,0.6837995337995338,0.5694444444444444,0.6837995337995338
M2-Direct-RealOrder,A,2,all,history_length,6-10,105,0.7333333333333333,0.6675300102474017,0.7428571428571429,0.6646181328527655
M2-Direct-RealOrder,A,2,all,stage,1,66,0.8333333333333334,0.8824327187963551,0.8333333333333334,0.8824327187963551
M2-Direct-RealOrder,A,2,all,stage,2,308,0.6883116883116883,0.7054523326915643,0.698051948051948,0.7253759000674387
M2-Direct-RealOrder,A,2,all,stage,3,57,0.7894736842105263,0.8597979797979798,0.7894736842105263,0.8597979797979797
M2-Direct-RealOrder,A,2,all,active_tail,False,140,0.8142857142857143,0.6873728633299128,0.8214285714285714,0.7330410503810634
M2-Direct-RealOrder,A,2,all,active_tail,True,291,0.6804123711340206,0.7654453160864877,0.6872852233676976,0.7936071149481011
M2-Direct-RealOrder,A,2,all,tail_reason,active_incomplete_atomic_prefix,291,0.6804123711340206,0.7654453160864877,0.6872852233676976,0.7936071149481011
M2-Direct-RealOrder,A,2,all,tail_reason,atomic_sequence_complete,27,0.8148148148148148,0.7275132275132274,0.8148148148148148,0.7275132275132274
M2-Direct-RealOrder,A,2,all,tail_reason,empty_history,24,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,2,all,tail_reason,latest_node_not_atomic,72,0.7777777777777778,0.8287114845938376,0.7777777777777778,0.8287114845938376
M2-Direct-RealOrder,A,2,all,tail_reason,observed_atomic_nodes_not_prefix,8,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,2,all,tail_reason,repeated_node_fallback,9,0.4444444444444444,0.4074074074074074,0.5555555555555556,0.5416666666666666
M2-Direct-RealOrder,A,42,normal,exact_full_prefix,False,107,0.8130841121495327,0.7744164332399626,0.8130841121495327,0.7735861409545621
M2-Direct-RealOrder,A,42,normal,exact_full_prefix,True,187,0.8074866310160428,0.8270710335416218,0.8074866310160428,0.8423039215686274
M2-Direct-RealOrder,A,42,normal,local_suffix_1,insufficient,15,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,42,normal,local_suffix_1,seen,279,0.7992831541218638,0.8065831917247386,0.7992831541218638,0.8138994713357138
M2-Direct-RealOrder,A,42,normal,local_suffix_2,insufficient,30,0.8666666666666667,0.7833333333333333,0.8666666666666667,0.7833333333333333
M2-Direct-RealOrder,A,42,normal,local_suffix_2,seen,259,0.803088803088803,0.8184357008443286,0.803088803088803,0.8272813364707347
M2-Direct-RealOrder,A,42,normal,local_suffix_2,unseen,5,0.8,0.7333333333333333,0.8,0.7333333333333333
M2-Direct-RealOrder,A,42,normal,local_prefix_3,insufficient,45,0.8666666666666667,0.7435714285714285,0.8666666666666667,0.7435714285714285
M2-Direct-RealOrder,A,42,normal,local_prefix_3,seen,233,0.7939914163090128,0.7912437477168571,0.7939914163090128,0.8026089842498685
M2-Direct-RealOrder,A,42,normal,local_prefix_3,unseen,16,0.875,0.8888888888888888,0.875,0.8888888888888888
M2-Direct-RealOrder,A,42,normal,history_length,0,15,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,42,normal,history_length,1-2,30,0.8,0.6502645502645503,0.8,0.6502645502645503
