comparison_model,participant,seed,condition,grouping,group,tier3_accuracy_delta_vs_m2,tier3_macro_f1_delta_vs_m2,node_accuracy_delta_vs_m2
A1-Legacy-Once,A,2,fault,local_suffix_2,unseen,-0.16666666666666674,-0.06666666666666654,-0.16666666666666674
A1-Legacy-Once,A,2,fault,stage,1,-0.045454545454545414,-0.030303030303030387,-0.045454545454545414
A1-Legacy-Once,A,2,fault,stage,2,0.15306122448979598,0.13911269281557903,0.18367346938775508
A1-Legacy-Once,A,2,fault,stage,3,0.11764705882352933,0.1466666666666666,0.11764705882352933
A1-Legacy-Once,A,2,fault,tail_reason,active_incomplete_atomic_prefix,0.1875,0.11738111632612913,0.21250000000000002
A1-Legacy-Once,A,2,fault,tail_reason,atomic_sequence_complete,0.0,0.0,0.0
A1-Legacy-Once,A,2,fault,tail_reason,empty_history,0.0,0.0,0.0
A1-Legacy-Once,A,2,fault,tail_reason,latest_node_not_atomic,0.04347826086956519,0.10222222222222233,0.04347826086956519
A1-Legacy-Once,A,2,fault,tail_reason,observed_atomic_nodes_not_prefix,-0.125,-0.03846153846153855,-0.125
A1-Legacy-Once,A,2,fault,tail_reason,repeated_node_fallback,0.11111111111111105,0.02083333333333337,0.2222222222222222
A1-Legacy-Once,A,2,normal,active_tail,False,0.03614457831325302,0.04775132275132277,0.03614457831325302
A1-Legacy-Once,A,2,normal,active_tail,True,0.06161137440758302,0.03659610767085042,0.05213270142180104
A1-Legacy-Once,A,2,normal,exact_full_prefix,False,0.08411214953271029,0.09372972400836177,0.07476635514018692
A1-Legacy-Once,A,2,normal,exact_full_prefix,True,0.03743315508021383,-0.00015259653606813917,0.03208556149732622
A1-Legacy-Once,A,2,normal,history_length,0,0.0,0.0,0.0
A1-Legacy-Once,A,2,normal,history_length,1-2,0.033333333333333326,-0.09413580246913589,0.033333333333333326
A1-Legacy-Once,A,2,normal,history_length,11-20,0.06930693069306926,0.08073762838468701,0.06930693069306926
A1-Legacy-Once,A,2,normal,history_length,21+,0.0714285714285714,0.12976190476190497,0.0357142857142857
A1-Legacy-Once,A,2,normal,history_length,3-5,0.0888888888888889,0.023471055088702175,0.0888888888888889
A1-Legacy-Once,A,2,normal,history_length,6-10,0.026666666666666616,0.10975033738191631,0.013333333333333308
A1-Legacy-Once,A,2,normal,local_prefix_3,insufficient,0.022222222222222143,-0.07867826617826612,0.022222222222222143
A1-Legacy-Once,A,2,normal,local_prefix_3,seen,0.05579399141630903,0.023657634995283505,0.047210300429184504
A1-Legacy-Once,A,2,normal,local_prefix_3,unseen,0.125,0.12777777777777777,0.125
A1-Legacy-Once,A,2,normal,local_suffix_1,insufficient,0.0,0.0,0.0
A1-Legacy-Once,A,2,normal,local_suffix_1,seen,0.057347670250896154,0.050677015966424155,0.05017921146953408
A1-Legacy-Once,A,2,normal,local_suffix_2,insufficient,0.033333333333333326,-0.11239752311180884,0.033333333333333326
A1-Legacy-Once,A,2,normal,local_suffix_2,seen,0.05405405405405406,0.04495106864455145,0.04633204633204635
A1-Legacy-Once,A,2,normal,local_suffix_2,unseen,0.19999999999999996,0.2666666666666667,0.19999999999999996
A1-Legacy-Once,A,2,normal,stage,1,0.0,0.010101010101010166,0.0
A1-Legacy-Once,A,2,normal,stage,2,0.06190476190476191,0.04922052626986573,0.05238095238095242
A1-Legacy-Once,A,2,normal,stage,3,0.07500000000000007,0.031746031746031744,0.07500000000000007
A1-Legacy-Once,A,2,normal,tail_reason,active_incomplete_atomic_prefix,0.06161137440758302,0.03659610767085042,0.05213270142180104
A1-Legacy-Once,A,2,normal,tail_reason,atomic_sequence_complete,0.0,0.020408163265306145,0.0
A1-Legacy-Once,A,2,normal,tail_reason,empty_history,0.0,0.0,0.0
A1-Legacy-Once,A,2,normal,tail_reason,latest_node_not_atomic,0.061224489795918324,0.09962962962962973,0.061224489795918324
A1-Legacy-Once,A,42,all,active_tail,False,-0.0071428571428571175,-0.006093479170402261,-0.0071428571428571175
A1-Legacy-Once,A,42,all,active_tail,True,0.010309278350515538,-0.000534836430099328,0.010309278350515538
A1-Legacy-Once,A,42,all,exact_full_prefix,False,-0.01273885350318471,-0.007776372139117194,-0.01273885350318471
A1-Legacy-Once,A,42,all,exact_full_prefix,True,0.014598540145985384,0.013051210491209941,0.014598540145985384
A1-Legacy-Once,A,42,all,history_length,0,0.0,0.0,0.0
A1-Legacy-Once,A,42,all,history_length,1-2,0.08333333333333326,0.12163865546218489,0.08333333333333326
A1-Legacy-Once,A,42,all,history_length,11-20,-0.027586206896551668,-0.027161101988688152,-0.027586206896551668
A1-Legacy-Once,A,42,all,history_length,21+,0.0,-0.02323232323232316,0.0
A1-Legacy-Once,A,42,all,history_length,3-5,0.02777777777777768,-0.013778799749685322,0.02777777777777779
A1-Legacy-Once,A,42,all,history_length,6-10,0.0,0.07420211885199779,0.0
A1-Legacy-Once,A,42,all,local_prefix_3,insufficient,0.05555555555555558,0.11421163202122964,0.05555555555555558
A1-Legacy-Once,A,42,all,local_prefix_3,seen,-0.009036144578313254,-0.01746387089742618,-0.009036144578313254
A1-Legacy-Once,A,42,all,local_prefix_3,unseen,0.03703703703703709,0.022222222222222254,0.03703703703703709
A1-Legacy-Once,A,42,all,local_suffix_1,insufficient,0.0,0.0,0.0
A1-Legacy-Once,A,42,all,local_suffix_1,seen,0.004914004914004955,-0.0005328980093816105,0.004914004914004844
A1-Legacy-Once,A,42,all,local_suffix_2,insufficient,0.04166666666666663,0.016220698805838096,0.04166666666666663
A1-Legacy-Once,A,42,all,local_suffix_2,seen,-0.0026881720430107503,-0.011777038843621912,-0.0026881720430107503
A1-Legacy-Once,A,42,all,local_suffix_2,unseen,0.09090909090909094,0.19047619047619047,0.09090909090909094
A1-Legacy-Once,A,42,all,stage,1,0.030303030303030276,0.01118881118881132,0.030303030303030276
A1-Legacy-Once,A,42,all,stage,2,0.009740259740259716,0.0006708181294750037,0.009740259740259716
A1-Legacy-Once,A,42,all,stage,3,-0.052631578947368474,-0.03111111111111098,-0.052631578947368474
A1-Legacy-Once,A,42,all,tail_reason,active_incomplete_atomic_prefix,0.010309278350515538,-0.000534836430099328,0.010309278350515538
A1-Legacy-Once,A,42,all,tail_reason,atomic_sequence_complete,-0.03703703703703709,-0.11111111111111105,-0.03703703703703709
A1-Legacy-Once,A,42,all,tail_reason,empty_history,0.0,0.0,0.0
A1-Legacy-Once,A,42,all,tail_reason,latest_node_not_atomic,0.0,0.005756335168099924,0.0
A1-Legacy-Once,A,42,all,tail_reason,observed_atomic_nodes_not_prefix,0.0,0.0,0.0
A1-Legacy-Once,A,42,all,tail_reason,repeated_node_fallback,0.0,0.0,0.0
A1-Legacy-Once,A,42,fault,active_tail,False,-0.03508771929824561,-0.0641025641025641,-0.03508771929824561
A1-Legacy-Once,A,42,fault,active_tail,True,-0.025000000000000022,-0.04244007153214302,-0.03749999999999998
A1-Legacy-Once,A,42,fault,exact_full_prefix,False,-0.07999999999999996,-0.13982683982683985,-0.07999999999999996
A1-Legacy-Once,A,42,fault,exact_full_prefix,True,0.0,0.013786568986569048,-0.011494252873563204
A1-Legacy-Once,A,42,fault,history_length,0,0.0,0.0,0.0
A1-Legacy-Once,A,42,fault,history_length,1-2,0.05555555555555558,0.022435897435897467,0.05555555555555558
A1-Legacy-Once,A,42,fault,history_length,11-20,-0.06818181818181823,-0.07636437636437643,-0.06818181818181823
A1-Legacy-Once,A,42,fault,history_length,21+,-0.11111111111111116,-0.16666666666666663,-0.11111111111111116
A1-Legacy-Once,A,42,fault,history_length,3-5,0.0,-0.04880952380952375,-0.037037037037037035
A1-Legacy-Once,A,42,fault,history_length,6-10,-0.03333333333333344,-0.03650793650793649,-0.03333333333333344
A1-Legacy-Once,A,42,fault,local_prefix_3,insufficient,0.03703703703703698,0.024679487179487203,0.03703703703703698
A1-Legacy-Once,A,42,fault,local_prefix_3,seen,-0.0505050505050505,-0.10027013168701149,-0.06060606060606066
A1-Legacy-Once,A,42,fault,local_prefix_3,unseen,0.0,0.0,0.0
A1-Legacy-Once,A,42,fault,local_suffix_1,insufficient,0.0,0.0,0.0
A1-Legacy-Once,A,42,fault,local_suffix_1,seen,-0.03125,-0.06630168262521208,-0.0390625
A1-Legacy-Once,A,42,fault,local_suffix_2,insufficient,0.05555555555555558,0.03701923076923064,0.05555555555555558
A1-Legacy-Once,A,42,fault,local_suffix_2,seen,-0.04424778761061954,-0.08595507503070532,-0.053097345132743334
A1-Legacy-Once,A,42,fault,local_suffix_2,unseen,0.0,0.0,0.0
A1-Legacy-Once,A,42,fault,stage,1,0.0,-0.018181818181818188,0.0
A1-Legacy-Once,A,42,fault,stage,2,-0.010204081632653073,-0.02508953006011838,-0.020408163265306145
A1-Legacy-Once,A,42,fault,stage,3,-0.17647058823529416,-0.16666666666666674,-0.17647058823529416
A1-Legacy-Once,A,42,fault,tail_reason,active_incomplete_atomic_prefix,-0.025000000000000022,-0.04244007153214302,-0.03749999999999998
A1-Legacy-Once,A,42,fault,tail_reason,atomic_sequence_complete,-0.125,-0.16666666666666663,-0.125
A1-Legacy-Once,A,42,fault,tail_reason,empty_history,0.0,0.0,0.0
A1-Legacy-Once,A,42,fault,tail_reason,latest_node_not_atomic,-0.0434782608695653,-0.05777777777777782,-0.0434782608695653
A1-Legacy-Once,A,42,fault,tail_reason,observed_atomic_nodes_not_prefix,0.0,0.0,0.0
A1-Legacy-Once,A,42,fault,tail_reason,repeated_node_fallback,0.0,0.0,0.0
A1-Legacy-Once,A,42,normal,active_tail,False,0.012048192771084265,0.014109347442680775,0.012048192771084265
A1-Legacy-Once,A,42,normal,active_tail,True,0.023696682464455,0.016692252285820386,0.028436018957346043
A1-Legacy-Once,A,42,normal,exact_full_prefix,False,0.01869158878504673,0.026992354623933568,0.01869158878504673
A1-Legacy-Once,A,42,normal,exact_full_prefix,True,0.021390374331550777,0.007901614845522986,0.0267379679144385
A1-Legacy-Once,A,42,normal,history_length,0,0.0,0.0,0.0
A1-Legacy-Once,A,42,normal,history_length,1-2,0.09999999999999998,0.12222222222222223,0.09999999999999998
A1-Legacy-Once,A,42,normal,history_length,11-20,-0.00990099009900991,-0.012138188608776801,-0.00990099009900991
A1-Legacy-Once,A,42,normal,history_length,21+,0.0357142857142857,0.007936507936507908,0.0357142857142857
A1-Legacy-Once,A,42,normal,history_length,3-5,0.04444444444444451,0.01702786377708987,0.06666666666666676
A1-Legacy-Once,A,42,normal,history_length,6-10,0.013333333333333308,0.09130070980454619,0.013333333333333308
A1-Legacy-Once,A,42,normal,local_prefix_3,insufficient,0.06666666666666665,0.1139855072463769,0.06666666666666665
A1-Legacy-Once,A,42,normal,local_prefix_3,seen,0.008583690987124526,0.0014259692318034922,0.012875536480686733
A1-Legacy-Once,A,42,normal,local_prefix_3,unseen,0.0625,0.02777777777777779,0.0625
A1-Legacy-Once,A,42,normal,local_suffix_1,insufficient,0.0,0.0,0.0
A1-Legacy-Once,A,42,normal,local_suffix_1,seen,0.021505376344086002,0.022556463289249873,0.02508960573476704
A1-Legacy-Once,A,42,normal,local_suffix_2,insufficient,0.033333333333333326,0.013176574977817213,0.033333333333333326
A1-Legacy-Once,A,42,normal,local_suffix_2,seen,0.015444015444015524,0.010070185871349113,0.019305019305019377
A1-Legacy-Once,A,42,normal,local_suffix_2,unseen,0.19999999999999996,0.2666666666666667,0.19999999999999996
A1-Legacy-Once,A,42,normal,stage,1,0.045454545454545414,0.025974025974026094,0.045454545454545414
A1-Legacy-Once,A,42,normal,stage,2,0.01904761904761909,0.012539261052278983,0.023809523809523836
A1-Legacy-Once,A,42,normal,stage,3,0.0,0.0,0.0
A1-Legacy-Once,A,42,normal,tail_reason,active_incomplete_atomic_prefix,0.023696682464455,0.016692252285820386,0.028436018957346043
