condition,participant,seed,split,stage,samples,node_accuracy,node_macro_f1,tier3_accuracy,tier3_macro_f1
A0,D,1,test_normal,3,51,0.9607843137254902,0.9583333333333333,0.9607843137254902,0.9583333333333333
A0,D,1,test_fault,1,11,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
A0,D,1,test_fault,2,46,0.9565217391304348,0.9285714285714286,0.9565217391304348,0.9
A0,D,1,test_fault,3,5,0.8,0.8,0.8,0.8
A0,D,2,test_all,1,66,0.8636363636363636,0.9206611570247933,0.8636363636363636,0.9206611570247933
A0,D,2,test_all,2,340,0.9,0.898025868930395,0.9029411764705882,0.9186473864325135
A0,D,2,test_all,3,56,0.9107142857142857,0.9241258741258742,0.9107142857142857,0.9241258741258742
A0,D,2,test_normal,1,55,0.8727272727272727,0.9267676767676768,0.8727272727272727,0.9267676767676768
A0,D,2,test_normal,2,294,0.8945578231292517,0.8922623426776252,0.8979591836734694,0.9136572819210071
A0,D,2,test_normal,3,51,0.9019607843137255,0.9207070707070708,0.9019607843137255,0.9207070707070708
A0,D,2,test_fault,1,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
A0,D,2,test_fault,2,46,0.9347826086956522,0.9302721088435374,0.9347826086956522,0.949047619047619
A0,D,2,test_fault,3,5,1.0,1.0,1.0,1.0
A0,D,42,test_all,1,66,0.7575757575757576,0.8197499470226741,0.7575757575757576,0.8197499470226742
A0,D,42,test_all,2,340,0.8441176470588235,0.8431422897174763,0.8470588235294118,0.8522784844932124
A0,D,42,test_all,3,56,0.9464285714285714,0.9439310689310689,0.9464285714285714,0.9439310689310689
A0,D,42,test_normal,1,55,0.7818181818181819,0.8387052341597797,0.7818181818181819,0.8387052341597797
A0,D,42,test_normal,2,294,0.8299319727891157,0.8308202189522466,0.8333333333333334,0.8446374256204547
A0,D,42,test_normal,3,51,0.9411764705882353,0.9395299145299145,0.9411764705882353,0.9395299145299145
A0,D,42,test_fault,1,11,0.6363636363636364,0.606060606060606,0.6363636363636364,0.6060606060606061
A0,D,42,test_fault,2,46,0.9347826086956522,0.9040816326530613,0.9347826086956522,0.8832167832167832
A0,D,42,test_fault,3,5,1.0,1.0,1.0,1.0
A0,J,1,test_all,1,55,0.9090909090909091,0.9206349206349206,0.9090909090909091,0.9206349206349206
A0,J,1,test_all,2,424,0.9740566037735849,0.9761928809229898,0.9764150943396226,0.9715649616700409
A0,J,1,test_all,3,76,0.868421052631579,0.8963398692810458,0.868421052631579,0.8963398692810458
A0,J,1,test_normal,1,33,0.9696969696969697,0.9688311688311689,0.9696969696969697,0.9688311688311689
A0,J,1,test_normal,2,294,0.9829931972789115,0.9845278626045496,0.9829931972789115,0.9783390076463693
A0,J,1,test_normal,3,60,0.8833333333333333,0.9026973026973029,0.8833333333333333,0.9026973026973026
A0,J,1,test_fault,1,22,0.8181818181818182,0.8242424242424242,0.8181818181818182,0.8242424242424242
A0,J,1,test_fault,2,130,0.9538461538461539,0.9571995464852607,0.9615384615384616,0.9557111587599392
A0,J,1,test_fault,3,16,0.8125,0.825,0.8125,0.825
A0,J,2,test_all,1,55,0.9090909090909091,0.9141414141414141,0.9090909090909091,0.9141414141414141
